frame,object_id,center_x,center_y
0,1,528.2239965619027,409.27272932900553
1,1,526.9265803173736,408.61179271612957
2,1,526.5701552157042,408.50039945217986
3,1,526.3177600947145,408.482838700864
4,1,526.7557534418165,408.4453693476206
5,1,526.4553301929936,408.4363052227202
6,1,526.9926690229164,408.6615665260518
7,1,526.615694187929,408.5703764507376
8,1,527.6245294391939,408.97079395407553
9,1,526.0773337592261,408.9521783273822
10,1,524.5300359365611,408.72210948747886
11,1,524.0953188100791,408.7535635060577
12,1,524.8097880697908,409.2514501689961
13,1,524.6515283442556,409.3881467393795
14,1,525.0896210721947,409.47426204871107
15,1,525.5450789010256,409.35015711145127
16,1,526.6481986143187,409.7613972286374
17,1,528.4014210002546,410.1915457427851
18,1,530.2929893870681,410.84058394501847
19,1,533.7896791235746,412.02397433932003
20,1,538.1985816446735,413.5778489070811
21,1,543.2827318143339,415.2254891440426
22,1,548.0520389785427,416.0586109421405
23,1,552.4732719167905,416.8331530460624
24,1,556.0545612386876,418.3526858447597
25,1,560.6153405633702,419.36110812842264
26,1,564.8707770068903,421.0864983429893
27,1,566.6320346835955,421.5117855143582
28,1,566.5944864066335,421.62164931258786
29,1,565.9864076050701,420.86178881158867
30,1,563.2296861039966,419.52935850854726
31,1,559.1161527095944,418.00051236833326
32,1,553.8206157965194,415.9738778121335
33,1,545.1501549847418,416.2244755748853
34,1,537.2314103257928,415.70163918654015
35,1,537.231601965661,415.5661368032777
36,1,537.0437581022993,416.37020400736884
37,1,517.9720820358639,414.55060429268525
38,1,518.09534182873,417.60419653035655
39,1,509.90988164675235,421.0397304490628
40,1,501.4525040079823,423.13595748735946
41,1,494.2685354729167,424.19562539534576
42,1,487.5573165221033,425.10786593631866
43,1,480.95073188930587,426.5011521495819
44,1,474.56102797728687,428.1404095778885
45,1,462.91499542001185,429.18752087935775
46,1,448.2137245183131,429.4195922930091
47,1,403.88086563767797,422.75497350909654
48,1,365.86514485115043,414.9281378357748
49,1,373.24724889049907,417.18670183860155
50,1,349.91509401214927,412.0787503615852
51,1,343.1638660331441,414.0043226329818
52,1,336.8170652949774,414.2015272883833
53,1,330.25565916578256,413.8079736445363
54,1,326.90945460298803,415.7020997671948
55,1,326.78059978946897,415.2851911576967
56,1,326.6737795021015,413.54675184231354
57,1,328.40837172716033,413.3580851781099
58,1,330.1928157433616,412.7850451543335
59,1,330.5189456527848,412.2683077614792
60,1,330.77317780324995,411.6683410873621
61,1,332.5716922522847,411.0589632197362
62,1,371.8698777933328,418.0664294811743
63,1,343.9283937537427,409.333271914874
64,1,353.67129819464134,408.2097660414494
65,1,363.8351563244686,406.41760794967115
66,1,407.03876381452784,411.81232194916475
67,1,421.32171727841836,409.48338207332125
68,1,438.5002146165142,408.1091494408675
69,1,456.9448476712703,407.4586016245364
70,1,477.5764267153745,407.50867064592234
71,1,494.48443132707916,404.9424159375988
72,1,528.2113382917329,406.8619615835135
73,1,538.3063556829535,403.2802588211128
74,1,548.470453273643,401.27900578250325
75,1,555.1177683444512,400.4187246349769
76,1,561.8953775168573,400.15793718524634
77,1,568.2804700370431,399.9576147715045
78,1,574.1361257533678,399.8103119272988
79,1,580.1438491689594,400.5161873892888
80,1,582.6154118231875,400.2419222239217
81,1,583.3766745546898,402.06786340188324
82,1,585.2793527640243,405.392853861467
83,1,615.916644906393,399.8769314608145
84,1,623.1608584982066,401.80212889043156
85,1,626.8307803850713,404.7388282140103
86,1,627.9035558239494,404.14577338874875
87,1,629.116915954416,403.23425925925926
88,1,633.0716977620621,402.3193830549481
89,1,632.528894999301,400.3823227851051
90,1,635.7679755343307,400.0275467004439
91,1,635.5976037074714,399.09578388154176
92,1,636.1028484888978,399.9842319770161
93,1,631.7745563721097,400.0962650116508
94,1,626.6770277050002,400.35377668766375
95,1,622.036676403765,400.20291217584975
96,1,604.0578050689302,396.2640900608031
97,1,595.972872127083,396.2243640385527
98,1,588.5275783468838,396.26689745121223
99,1,582.83329666031,397.2450613661924
100,1,589.0396555525897,402.1876240324022
101,1,582.5098149055855,403.0731624769507
102,1,582.4870441514765,403.03408573397013
103,1,575.4049366010709,403.6107527383438
104,1,568.2881786667916,405.3778985337518
105,1,560.0190013983713,405.6005710995429
106,1,553.9522570990844,406.5411574684386
107,1,549.6694127790018,408.18957754574194
108,1,546.8687663725146,409.2997573548052
109,1,545.0759268664297,409.7460881762558
110,1,543.7616306720486,410.2111264222041
111,1,543.9435443379012,410.7494152369056
112,1,543.8268682399213,411.12624139626354
113,1,539.7874115354371,416.19432003373333
114,1,546.4451357466063,411.59890812512293
115,1,547.4157620762817,411.55188237035577
116,1,548.2425069465885,411.8057054646496
117,1,548.6725720568795,411.6771431748267
118,1,549.0336628273806,411.63022850144125
119,1,549.3364251567641,411.97987210529584
120,1,549.5804456367837,412.2675186924013
121,1,549.5909812797779,412.8959820926132
122,1,542.1407178984009,418.70612421301
123,1,549.7755827786074,414.28975676428155
124,1,549.858675592776,414.85097555077573
125,1,549.6922426277409,415.19390226710584
126,1,550.0006031750106,415.45766866441653
127,1,549.9396759205632,415.58008674723607
128,1,549.8568998401979,415.3523764111552
129,1,549.7427376788963,415.15600924002115
130,1,549.9003121291854,414.93249239023885
131,1,549.861084289264,414.54542762607343
132,1,550.0252896841673,413.87983234208366
133,1,550.0904695075275,413.25530747639704
134,1,549.9465865189102,412.5707477633184
135,1,549.9716606863092,411.87299742255016
136,1,549.8270682376661,411.3768508600592
137,1,549.5926419889781,411.0699313017439
138,1,549.4732992320937,410.9087812786708
139,1,549.5459176614131,410.916906705576
140,1,539.5012206595134,416.2257922377964
141,1,540.6011758825069,417.03948965747065
142,1,552.2232745579131,412.33505803384145
143,1,553.8961174568005,412.3126026664629
144,1,543.7048549508511,417.7454207624071
145,1,559.1754051599535,412.79466352856906
146,1,550.4644501462759,417.7147379022589
147,1,554.1301619990661,417.74519570397155
148,1,572.9101031292655,411.9449092563571
149,1,579.5557600340519,411.68227797391023
150,1,584.3566388467375,412.0265048052605
151,1,591.4300387523986,410.84016203268243
152,1,598.9105784197747,411.1987921050993
153,1,605.6596168506996,412.48267466738804
154,1,610.5059927427336,412.9053134430476
155,1,614.526398365381,412.9575899101203
156,1,617.9713299000302,412.8588185398364
157,1,620.5050628175576,412.5452274345575
158,1,623.5086024067675,412.45740498034075
159,1,625.0727671948252,412.5879532371966
160,1,624.70915296972,412.64382388620635
161,1,623.5630591082742,411.9010037254111
162,1,622.4352214701341,411.7556109725686
163,1,621.2997813102572,411.6832055683582
164,1,617.9105451285258,410.4794205428871
165,1,614.3755033676633,410.14403145528195
166,1,609.88262184148,409.89138051016243
167,1,607.951265597148,410.1149138443256
168,1,604.1809317053278,409.5081680140092
169,1,602.343533597593,409.1078012321505
170,1,597.8466218847352,410.38204585280374
171,1,597.84295519264,410.35973665636334
172,1,595.3464363948831,410.68783811587014
173,1,592.1032226740305,409.35585361412876
174,1,590.7561581428034,409.20851053517987
175,1,588.9418724591955,408.97014744250953
176,1,588.4473995271868,408.742714816423
177,1,587.479742439589,408.649387449959
178,1,585.3565234289601,408.26130152792285
179,1,584.9975052377896,408.44952950722393
180,1,583.8981900727127,408.5913643040095
181,1,581.8726408772465,409.03627170271096
182,1,579.7108827085852,409.6951753325272
183,1,573.2292176709175,408.9000255782512
184,1,568.3924723354688,408.9350247524753
185,1,560.949398443029,408.55107743368234
186,1,555.4837717255411,408.73137548108747
